"Set"	"N"	"Sim"	"HR"	"MAP"	"SV"	"CVP"	"SAP"	"DAP"	"Grav"	"CO"	"PP"
"2"	2	4	65.650882	100.015888	85.62832	7.165556	123.320774	74.933662	"1"	5.62157473217824	48.387112
"2"	2	5	66.070304	100.310613	85.556869	7.1628	123.589417	75.23664	"1"	5.65276834411818	48.352777
"2"	2	6	64.243096	100.281352	86.651142	7.155193	123.912356	74.916855	"1"	5.56673763401563	48.995501
"2"	2	7	65.321007	100.0521	86.902433	7.235908	123.714719	74.632704	"1"	5.67655443431003	49.082015
"2"	2	8	65.158775	100.051422	86.77416	7.214325	123.678039	74.664827	"1"	5.654097967254	49.013212
"2"	2	9	66.657919	99.484228	84.529146	7.080489	122.427962	74.700412	"1"	5.63453696720717	47.72755
"2"	2	10	66.363718	99.655177	85.814096	7.182875	122.973848	74.53654	"1"	5.69494246736893	48.437308
"2"	2	11	66.180171	100.167933	85.611971	7.178922	123.443678	75.093641	"1"	5.66581488042704	48.350037
"2"	2	12	66.420228	100.104717	83.548888	7.037323	122.821112	75.578746	"1"	5.54933619010646	47.242366
"2"	2	13	66.1291	99.951231	86.19529	7.22866	123.38215	74.729433	"1"	5.700016951939	48.652717
"2"	2	14	65.440417	100.160318	85.645411	7.141609	123.478258	75.063691	"1"	5.60467140997639	48.414567
"2"	2	15	65.754802	99.410668	85.611623	7.141557	122.679571	74.342925	"1"	5.62937531926365	48.336646
"2"	2	16	64.50443	100.173123	86.454748	7.178641	123.750693	74.867345	"1"	5.57671424053364	48.883348
"2"	2	17	65.438679	100.113483	85.185874	7.101663	123.317767	75.155137	"1"	5.57445106402045	48.16263
"2"	2	18	65.744033	99.929038	86.027635	7.191768	123.344296	74.742725	"1"	5.65580367435196	48.601571
"2"	2	19	65.096465	99.597933	86.189161	7.148708	123.050008	74.369604	"1"	5.61060970241586	48.680404
"2"	2	20	65.244624	99.883064	85.970425	7.163061	123.31356	74.707913	"1"	5.6091080542452	48.605647
"2"	2	21	64.321025	100.272558	86.102106	7.145755	123.777443	75.046206	"1"	5.53817571257865	48.731237
"2"	2	22	66.737712	100.196441	85.500216	7.194529	123.421792	75.162786	"1"	5.70608879134579	48.259006
"2"	2	23	65.170139	99.939222	87.170073	7.248033	123.685576	74.457937	"1"	5.68088577405015	49.227639
"2"	2	24	66.518543	99.414968	86.125225	7.232039	122.796201	74.221942	"1"	5.72892448254717	48.574259
"2"	2	25	64.772865	100.701685	85.436277	7.101616	124.008784	75.651413	"1"	5.5339524362236	48.357371
"2"	2	26	64.993551	100.19117	86.220819	7.152622	123.694475	74.943394	"1"	5.60379719693827	48.751081
"2"	2	27	66.190521	100.157579	85.650228	7.178867	123.451038	75.078192	"1"	5.66923321508879	48.372846
"2"	2	28	65.314697	100.495178	86.046966	7.176562	123.931397	75.292715	"1"	5.6201315120593	48.638682
"2"	2	29	65.352537	100.12112	85.311586	7.096063	123.343725	75.115366	"1"	5.57532858059368	48.228359
"2"	2	30	65.663863	100.430521	85.167325	7.134254	123.63591	75.464506	"1"	5.59241556087648	48.171404
